date,max,min
2023-09-29,32.8,12.5
2023-09-30,33.6,13.4
2023-10-01,34.3,14.0
2023-10-02,33.0,13.4
2023-10-03,29.7,12.6
2023-10-04,31.5,13.1
2023-10-05,32.4,12.2
2023-10-06,32.7,12.5
2023-10-07,33.5,11.3
2023-10-08,31.2,11.5
2023-10-09,30.9,10.9
2023-10-10,30.1,9.5
2023-10-11,29.0,9.0
2023-10-12,30.6,11.4
2023-10-13,22.9,11.6
2023-10-14,23.2,13.7
2023-10-15,20.4,11.5
2023-10-16,20.5,13.2
2023-10-17,23.1,15.3
2023-10-18,20.8,14.2
2023-10-19,16.3,10.7
2023-10-20,14.6,8.5
2023-10-21,15.7,7.9
2023-10-22,17.3,9.5
2023-10-23,12.2,8.5
2023-10-24,13.0,5.9
2023-10-25,18.8,12.5
2023-10-26,20.1,9.9
2023-10-27,14.7,10.0
2023-10-28,17.8,10.0
2023-10-29,15.5,11.2
2023-10-30,12.7,8.1
2023-10-31,16.4,6.0
2023-11-01,17.2,10.5
2023-11-02,16.5,5.7
2023-11-03,12.0,7.3
2023-11-04,14.9,8.4
2023-11-05,13.4,7.0
2023-11-06,12.1,4.1
2023-11-07,11.7,3.4
2023-11-08,13.5,6.1
2023-11-09,13.6,8.5
2023-11-10,14.3,8.3
2023-11-11,18.1,13.4
2023-11-12,18.4,12.8
2023-11-13,19.4,10.4
2023-11-14,18.0,8.4
2023-11-15,19.4,12.1
2023-11-16,18.2,12.1
2023-11-17,19.3,9.4
2023-11-18,21.6,6.0
2023-11-19,20.3,5.3
2023-11-20,11.5,6.6
2023-11-21,13.0,4.3
2023-11-22,13.2,1.7
2023-11-23,13.1,2.0
2023-11-24,13.6,0.6
2023-11-25,15.0,0.2
2023-11-26,15.7,0.1
2023-11-27,14.3,4.8
2023-11-28,14.0,9.4
2023-11-29,16.6,9.0
2023-11-30,14.9,5.4
2023-12-01,8.9,2.8
2023-12-02,9.6,0.9
2023-12-03,10.7,-1.6
2023-12-04,12.8,4.1
2023-12-05,6.8,0.7
2023-12-06,8.8,-0.4
2023-12-07,10.8,2.6
2023-12-08,10.8,5.4
2023-12-09,16.1,8.4
2023-12-10,17.4,9.3
2023-12-11,18.0,9.9
2023-12-12,15.6,9.3
2023-12-13,10.5,3.6
2023-12-14,10.9,1.1
2023-12-15,12.2,0.9
2023-12-16,5.9,0.5
2023-12-17,4.1,-1.5
2023-12-18,7.5,-2.3
2023-12-19,8.6,-3.2
2023-12-20,7.6,-0.9
2023-12-21,11.8,-2.2
2023-12-22,12.2,-1.4
2023-12-23,5.4,0.7
2023-12-24,4.1,0.5
2023-12-25,7.5,-1.4
2023-12-26,5.7,-2.2
2023-12-27,8.4,-2.8
2023-12-28,13.8,1.6
2023-12-29,11.2,3.7
2023-12-30,14.3,2.8
2023-12-31,10.4,5.2
2024-01-01,11.8,0.2
2024-01-02,12.3,5.2
2024-01-03,13.2,5.8
2024-01-04,10.8,5.2
2024-01-05,8.2,2.2
2024-01-06,10.0,0.3
2024-01-07,10.0,-1.0
2024-01-08,8.3,-2.4
2024-01-09,7.4,3.5
2024-01-10,8.4,5.3
2024-01-11,8.3,-0.1
2024-01-12,8.1,-1.5
2024-01-13,14.9,1.8
2024-01-14,14.1,7.6
2024-01-15,15.1,10.8
2024-01-16,14.8,12.0
2024-01-17,14.1,9.3
2024-01-18,14.2,8.8
2024-01-19,8.8,0.0
2024-01-20,8.8,-2.6
2024-01-21,14.2,-1.1
2024-01-22,14.8,2.2
2024-01-23,18.5,7.7
2024-01-24,11.6,4.4
2024-01-25,18.4,1.9
2024-01-26,14.6,2.6
2024-01-27,16.4,4.2
2024-01-28,18.3,2.5
2024-01-29,16.9,4.8
2024-01-30,17.9,2.3
2024-01-31,14.6,3.1
2024-02-01,16.2,0.5
2024-02-02,13.9,2.0
2024-02-03,17.1,0.7
2024-02-04,17.6,1.8
2024-02-05,16.7,1.2
2024-02-06,17.0,4.6
2024-02-07,13.6,5.7
2024-02-08,12.1,8.9
2024-02-09,12.8,7.1
2024-02-10,8.2,3.0
2024-02-11,8.5,3.7
2024-02-12,16.3,7.9
2024-02-13,16.2,9.8
2024-02-14,19.7,8.6
2024-02-15,17.8,7.8
2024-02-16,15.1,5.6
2024-02-17,16.1,1.8
2024-02-18,18.8,2.5
2024-02-19,17.6,4.2
2024-02-20,18.4,1.7
2024-02-21,16.2,2.4
2024-02-22,14.9,4.0
2024-02-23,9.6,3.1
2024-02-24,9.8,2.8
2024-02-25,13.0,7.0
2024-02-26,8.6,2.2
2024-02-27,11.5,0.2
2024-02-28,13.4,-0.8
2024-02-29,12.7,0.8
2024-03-01,10.3,0.8
2024-03-02,8.7,1.2
2024-03-03,10.3,1.1
2024-03-04,12.6,4.8
2024-03-05,12.4,2.9
2024-03-06,15.5,0.0
2024-03-07,10.8,2.7
2024-03-08,11.0,3.6
2024-03-09,9.3,3.1
2024-03-10,10.9,4.2
2024-03-11,13.0,4.7
2024-03-12,17.5,1.2
2024-03-13,21.0,3.7
2024-03-14,16.0,5.5
2024-03-15,17.5,9.2
2024-03-16,20.0,6.2
2024-03-17,21.6,7.2
2024-03-18,23.2,7.5
2024-03-19,23.4,6.6
2024-03-20,22.1,7.5
2024-03-21,23.7,11.0
2024-03-22,26.3,10.9
2024-03-23,22.0,10.9
2024-03-24,19.8,6.2
2024-03-25,16.9,5.0
2024-03-26,9.0,1.8
2024-03-27,14.5,4.9
2024-03-28,14.7,5.6
2024-03-29,11.1,4.7
2024-03-30,12.5,4.3
2024-03-31,11.0,1.6
2024-04-01,12.0,4.1
2024-04-02,13.4,5.7
2024-04-03,18.4,7.7
2024-04-04,20.3,5.5
2024-04-05,24.4,11.3
2024-04-06,20.9,14.4
2024-04-07,19.6,11.4
2024-04-08,14.2,4.4
2024-04-09,15.6,1.5
2024-04-10,20.0,4.2
2024-04-11,24.5,7.4
2024-04-12,26.8,8.8
2024-04-13,27.6,9.6
2024-04-14,28.6,10.9
2024-04-15,25.6,13.1
2024-04-16,23.4,9.3
2024-04-17,20.1,6.0
2024-04-18,21.3,4.6
2024-04-19,23.7,4.4
2024-04-20,24.2,8.8
2024-04-21,22.3,5.5
2024-04-22,17.3,3.7
2024-04-23,17.9,1.4
2024-04-24,19.5,2.8
